ranker,player,nationality,position,team,age,birth_year,minutes_90s,tackles,tackles_won,tackles_def_3rd,tackles_mid_3rd,tackles_att_3rd,challenge_tackles,challenges,challenge_tackles_pct,challenges_lost,blocks,blocked_shots,blocked_passes,interceptions,tackles_interceptions,clearances,errors,matches
75,Lucas Bartlett,us USA,DF,St. Louis,25,1997,11.9,18,11,13,5,0,14,22,63.6,8,24,9,15,25,43,51,0,Matches
Rk
76,Ethan Bartlow,us USA,DF,Houston Dynamo,22,2000,22.1,14,10,9,4,1,5,13,38.5,8,22,17,5,13,27,102,1,Matches
77,Cole Bassett,us USA,MFFW,Colorado Rapids,21,2001,21.1,37,23,21,10,6,11,34,32.4,23,15,2,13,8,45,15,0,Matches
78,Amine Bassi,fr FRA,MFFW,Houston Dynamo,25,1997,22.2,14,7,3,8,3,8,24,33.3,16,15,1,14,11,25,3,1,Matches
79,Jesús Batiz,hn HON,MFFW,Toronto FC,23,1999,0.7,1,1,0,1,0,0,0,,0,2,1,1,0,1,0,0,Matches
80,Josh Bauer,us USA,DF,Nashville SC,24,1998,5.8,8,6,3,5,0,4,4,100.0,0,9,8,1,11,19,15,0,Matches
81,Tanner Beason,us USA,DF,SJ Earthquakes,25,1997,15.6,17,10,12,5,0,14,21,66.7,7,21,17,4,24,41,68,1,Matches
82,Gavin Beavers,us USA,GK,Real Salt Lake,17,2005,6.5,0,0,0,0,0,0,0,,0,0,0,0,0,0,5,1,Matches
83,Simon Becher,us USA,FWMF,Vancouver W'caps,23,1999,6.8,3,3,0,0,3,0,3,0.0,3,3,0,3,0,3,8,0,Matches
84,Alejandro Bedoya,us USA,MF,Philadelphia Union,35,1987,22.3,36,22,18,12,6,16,49,32.7,33,25,8,17,23,59,19,1,Matches
85,Steven Beitashour,ir IRN,DF,Colorado Rapids,35,1987,6.7,6,4,4,2,0,5,10,50.0,5,3,2,1,2,8,18,0,Matches
86,Jon Bell,jm JAM,DF,St. Louis,25,1997,1.6,2,1,1,1,0,1,3,33.3,2,3,2,1,2,4,5,0,Matches
87,Zaydan Bello,au AUS,MF,Minnesota Utd,20,2002,0.2,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,0,0,Matches
88,Nico Benalcázar,us USA,MF,NYCFC,21,2001,0.1,0,0,0,0,0,0,0,,0,1,1,0,1,1,0,0,Matches
89,Ben Bender,us USA,MFFW,Charlotte,21,2001,10.1,15,8,4,7,4,9,18,50.0,9,10,0,10,5,20,6,0,Matches
90,Joe Bendik,us USA,GK,Philadelphia Union,33,1989,7.6,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
91,Christian Benteke,be BEL,FW,D.C. United,32,1990,31.0,15,6,0,8,7,3,12,25.0,9,15,3,12,4,19,30,0,Matches
92,Sebastian Berhalter,us USA,MF,Vancouver W'caps,21,2001,14.4,38,24,19,16,3,16,29,55.2,13,23,5,18,19,57,27,0,Matches
93,Federico Bernardeschi,it ITA,FWMF,Toronto FC,28,1994,28.9,16,11,4,6,6,7,25,28.0,18,16,0,16,12,28,2,2,Matches
94,Miguel Berry,es ESP,FW,Atlanta Utd,25,1997,11.5,9,5,6,2,1,4,8,50.0,4,4,0,4,2,11,4,0,Matches
95,Aaron Bibout,cm CMR,FW,LA Galaxy,18,2004,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
96,David Bingham,us USA,GK,Portland Timbers,33,1989,19.0,0,0,0,0,0,0,1,0.0,1,1,0,1,3,3,13,1,Matches
97,Steve Birnbaum,us USA,DF,D.C. United,32,1991,17.9,16,9,10,4,2,7,11,63.6,4,15,9,6,23,39,75,0,Matches
98,Stipe Biuk,hr CRO,FW,LAFC,20,2002,14.9,13,8,7,3,3,6,27,22.2,21,14,1,13,8,21,9,0,Matches
99,Tristan Blackmon,us USA,DF,Vancouver W'caps,26,1996,28.0,17,10,12,4,1,11,19,57.9,8,24,17,7,34,51,116,1,Matches
100,Andre Blake,jm JAM,GK,Philadelphia Union,32,1990,26.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,11,1,Matches
Rk
101,Sebastián Blanco,ar ARG,FWMF,Portland Timbers,34,1988,4.9,0,0,0,0,0,0,4,0.0,4,1,0,1,2,2,0,0,Matches
102,Latif Blessing,gh GHA,FWMF,Toronto FC,26,1996,1.7,2,1,1,1,0,1,1,100.0,0,2,0,2,0,2,0,0,Matches
103,Latif Blessing,gh GHA,MF,NE Revolution,26,1996,11.5,36,20,17,17,2,15,36,41.7,21,15,3,12,14,50,7,1,Matches
104,Njabulo Blom,za RSA,MF,St. Louis,23,1999,21.3,45,19,22,15,8,18,47,38.3,29,30,5,25,49,94,22,0,Matches
105,Emmanuel Boateng,gh GHA,FWMF,NE Revolution,29,1994,16.0,14,7,7,5,2,2,11,18.2,9,14,4,10,10,24,12,0,Matches
106,Israel Boatwright,do DOM,MFDF,Inter Miami,17,2005,0.8,1,0,1,0,0,1,3,33.3,2,1,1,0,0,1,4,0,Matches
107,Mateusz Bogusz,pl POL,MFFW,LAFC,21,2001,19.3,35,24,12,16,7,12,36,33.3,24,12,0,12,6,41,14,0,Matches
108,Franck Boli,ci CIV,FW,Portland Timbers,29,1993,16.2,11,5,1,5,5,1,7,14.3,6,6,0,6,0,11,3,0,Matches
109,Joshua Bolma,gh GHA,MF,NE Revolution,20,2002,0.3,2,2,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
110,Moïse Bombito,ca CAN,DF,Colorado Rapids,22,2000,8.3,19,10,13,5,1,16,17,94.1,1,9,2,7,11,30,38,0,Matches
111,Jonathan Bond,eng ENG,GK,LA Galaxy,29,1993,22.8,0,0,0,0,0,0,0,,0,1,0,1,2,2,17,5,Matches
112,Pablo Bonilla,ve VEN,DF,Portland Timbers,23,1999,0.8,2,2,0,1,1,2,4,50.0,2,2,1,1,0,2,2,0,Matches
113,Alex Bono,us USA,GK,D.C. United,28,1994,9.5,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,3,0,Matches
114,Shanyder Borgelin,ht HAI,FW,Inter Miami,21,2001,1.6,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,1,0,Matches
115,Dylan Borrero,co COL,FWMF,NE Revolution,21,2002,5.7,7,4,3,2,2,5,9,55.6,4,6,0,6,3,10,1,0,Matches
116,Gustavo Bou,ar ARG,FWMF,NE Revolution,32,1990,14.0,12,7,5,5,2,4,16,25.0,12,11,1,10,7,19,4,0,Matches
117,Denis Bouanga,ga GAB,FW,LAFC,28,1994,28.1,31,22,8,18,5,14,44,31.8,30,18,2,16,4,35,18,0,Matches
118,Ousseni Bouda,bf BFA,FWMF,SJ Earthquakes,22,2000,1.7,2,0,0,1,1,0,0,,0,2,1,1,2,4,0,0,Matches
119,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,1996,6.7,7,4,0,5,2,2,6,33.3,4,13,0,13,1,8,1,0,Matches
120,Michael Boxall,nz NZL,DF,Minnesota Utd,34,1988,31.7,42,24,28,11,3,17,24,70.8,7,53,31,22,48,90,138,2,Matches
121,Tyler Boyd,us USA,FWMF,LA Galaxy,28,1994,25.8,35,23,14,14,7,17,43,39.5,26,25,3,22,12,47,11,0,Matches
122,Michael Bradley,us USA,MFDF,Toronto FC,35,1987,16.0,20,17,14,6,0,14,23,60.9,9,12,3,9,19,39,53,1,Matches
123,Christopher Brady,us USA,GK,Chicago Fire,18,2004,29.3,0,0,0,0,0,0,2,0.0,2,0,0,0,1,1,20,3,Matches
124,Zachary Brault-Guillard,ca CAN,DFMF,CF Montréal,24,1998,14.5,15,9,10,2,3,8,20,40.0,12,20,5,15,12,27,21,0,Matches
125,Claudio Bravo,ar ARG,DF,Portland Timbers,25,1997,25.9,68,39,45,21,2,36,92,39.1,56,51,7,44,39,107,62,0,Matches
Rk
126,Luke Brennan,us USA,MF,Atlanta Utd,17,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
127,Brenner,br BRA,FW,FC Cincinnati,23,2000,5.9,6,5,3,2,1,4,9,44.4,5,6,0,6,2,8,2,0,Matches
128,Ethan Bristow,kn SKN,DF,Minnesota Utd,21,2001,6.0,11,7,8,3,0,6,10,60.0,4,5,3,2,2,13,15,1,Matches
129,Andrew Brody,us USA,DF,Real Salt Lake,27,1995,25.2,27,19,16,8,3,14,27,51.9,13,27,13,14,25,52,54,0,Matches
130,Brandt Bronico,us USA,MF,Charlotte,27,1995,28.8,48,30,18,22,8,27,65,41.5,38,32,9,23,23,71,36,0,Matches
131,Javain Brown,jm JAM,DF,Vancouver W'caps,23,1999,19.6,33,18,12,17,4,18,30,60.0,12,19,7,12,21,54,67,1,Matches
132,Gastón Brugman,uy URU,MF,LA Galaxy,30,1992,21.1,57,36,30,21,6,27,56,48.2,29,26,7,19,37,94,28,0,Matches
