ranker,player,nationality,position,team,age,birth_year,minutes_90s,goals,shots,shots_on_target,shots_on_target_pct,shots_per90,shots_on_target_per90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_free_kicks,pens_made,pens_att,xg,npxg,npxg_per_shot,xg_net,npxg_net,matches
31,Fernando Álvarez,co COL,DF,CF Montréal,19,2003,2.8,0,1,0,0.0,0.35,0.00,0.00,,6.8,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
32,Luis Amarilla,py PAR,FW,Minnesota Utd,27,1995,8.2,2,20,6,30.0,2.43,0.73,0.00,0.00,16.4,0,2,2,3.2,1.7,0.08,-1.2,-1.7,Matches
33,Frankie Amaya,us USA,MF,NY Red Bulls,22,2000,21.3,5,38,9,23.7,1.78,0.42,0.13,0.56,22.2,0,0,0,2.0,2.0,0.05,+3.0,+3.0,Matches
34,Malte Amundsen,dk DEN,DF,Columbus Crew,24,1998,21.0,3,12,3,25.0,0.57,0.14,0.25,1.00,12.5,0,0,0,1.2,1.2,0.10,+1.8,+1.8,Matches
35,Sebastian Anderson,us USA,DF,Colorado Rapids,20,2002,3.0,0,1,0,0.0,0.33,0.00,0.00,,20.9,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
36,José Andrés Martínez,ve VEN,MF,Philadelphia Union,28,1994,20.3,3,22,4,18.2,1.09,0.20,0.14,0.75,30.9,0,0,0,0.8,0.8,0.04,+2.2,+2.2,Matches
37,Iván Angulo,co COL,FWDF,Orlando City,23,1999,27.6,5,45,15,33.3,1.63,0.54,0.11,0.33,16.6,0,0,0,4.9,4.9,0.11,+0.1,+0.1,Matches
38,Marco Angulo,ec ECU,MF,FC Cincinnati,20,2002,8.7,0,8,0,0.0,0.92,0.00,0.00,,23.7,0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
39,Eugene Ansah,gh GHA,FW,FC Dallas,28,1994,2.0,1,8,4,50.0,4.00,2.00,0.13,0.25,13.1,0,0,0,1.2,1.2,0.15,-0.2,-0.2,Matches
40,Themi Antonoglou,ca CAN,DFMF,Toronto FC,21,2001,5.3,0,2,1,50.0,0.37,0.19,0.00,0.00,17.6,0,0,0,0.2,0.2,0.10,-0.2,-0.2,Matches
41,Antony,br BRA,FWMF,Portland Timbers,21,2001,2.8,1,4,2,50.0,1.42,0.71,0.25,0.50,11.7,0,0,0,0.4,0.4,0.10,+0.6,+0.6,Matches
42,Brian Anunga,cm CMR,MF,Nashville SC,26,1996,6.3,0,1,1,100.0,0.16,0.16,0.00,0.00,31.4,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
