ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
149,Pedro Gallese,pe PER,GK,Orlando City,32,$13846 (€ 12689 £ 10908),$720000 (€ 659811 £ 567236),
150,Corentin Jean,fr FRA,FWMF,Inter Miami,27,$13846 (€ 12689 £ 10908),$720000 (€ 659811 £ 567236),
Rk
151,Aaron Boupendza,ga GAB,FW,FC Cincinnati,26,$13846 (€ 12689 £ 10908),$720000 (€ 659811 £ 567236),
152,José Martínez,es ESP,DF,FC Dallas,29,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
153,Sebastian Lletget,us USA,MFFW,FC Dallas,30,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
154,Brooks Lennon,us USA,DF,Atlanta Utd,25,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
155,Maximiliano Urruti,ar ARG,FW,Austin,31,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
156,Tomáš Ostrák,cz CZE,MFFW,St. Louis,22,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
157,Ayo Akinola,ca CAN,FWMF,SJ Earthquakes,23,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
158,Nathan Cardoso,br BRA,CB,SJ Earthquakes,28,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
159,Sergio Santos Gomes,br BRA,FWMF,FC Cincinnati,28,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
160,Steven Moreira,cv CPV,DF,Columbus Crew,28,$13462 (€ 12336 £ 10605),$700000 (€ 641483 £ 551479),
161,Derrick Etienne,ht HAI,FWMF,Atlanta Utd,26,$13005 (€ 11918 £ 10246),$676250 (€ 619719 £ 532769),
162,Mauricio Pereyra,uy URU,MF,Orlando City,32,$12981 (€ 11896 £ 10227),$675000 (€ 618573 £ 531784),
163,Bryan Acosta,hn HON,MF,Portland Timbers,29,$12981 (€ 11896 £ 10227),$675000 (€ 618573 £ 531784),
164,Yeimar Gómez Andrade,co COL,DF,Seattle Sounders,30,$12937 (€ 11856 £ 10192),$672732 (€ 616495 £ 529997),
165,Braian Cufré,ar ARG,DF,NYCFC,26,$12923 (€ 11843 £ 10181),$672000 (€ 615824 £ 529420),
166,Tomás Chancalay,ar ARG,FWMF,NE Revolution,24,$12813 (€ 11741 £ 10094),$666250 (€ 610554 £ 524890),
167,Lalas Abubakar,gh GHA,DF,Colorado Rapids,28,$12788 (€ 11719 £ 10075),$665000 (€ 609409 £ 523905),
168,Diego Rubio,cl CHI,MFFW,Colorado Rapids,29,$12692 (€ 11631 £ 9999),$660000 (€ 604827 £ 519966),
169,Mohanad Jeahze, ,LB,D.C. United,26,$12692 (€ 11631 £ 9999),$660000 (€ 604827 £ 519966),
170,Andrew Farrell,us USA,DF,NE Revolution,30,$12524 (€ 11477 £ 9867),$651250 (€ 596808 £ 513073),
171,Dejan Joveljić,rs SRB,FW,LA Galaxy,23,$12524 (€ 11477 £ 9867),$651250 (€ 596808 £ 513073),
172,Matthew Hoppe,us USA,FWMF,SJ Earthquakes,21,$12500 (€ 11455 £ 9848),$650004 (€ 595667 £ 512091),
173,Matheus Rossetto,br BRA,MF,Atlanta Utd,26,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
174,Fafà Picault,ht HAI,FWMF,Nashville SC,31,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
175,Stefan Frei,ch SUI,GK,Seattle Sounders,36,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
Rk
176,Cristian Olivera,uy URU,FW,LAFC,20,$12500 (€ 11455 £ 9848),$650000 (€ 595663 £ 512088),
