ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
213,Amine Bassi,fr FRA,MF,Houston Dynamo,26,$11635 (€ 11050 £ 9108),$605000 (€ 574582 £ 473608),
214,Bongokuhle Hlongwane,za RSA,FWDF,Minnesota Utd,23,$11635 (€ 11050 £ 9108),$605000 (€ 574582 £ 473608),
215,Eugene Ansah,gh GHA,FWMF,FC Dallas,29,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
216,Brad Guzan,us USA,GK,Atlanta Utd,39,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
217,Joe Willis,us USA,GK,Nashville SC,35,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
218,Dylan Borrero,co COL,FWMF,NE Revolution,22,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
219,David Brekalo, ,CB,Orlando City,25,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
220,Tim Leibold,de GER,DF,Sporting KC,30,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
221,Yaw Yeboah,gh GHA,DFMF,Columbus Crew,26,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
222,Stefan Frei,ch SUI,GK,Seattle Sounders,37,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
223,Timmy Tillman,de GER,MF,LAFC,25,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
224,Leo Väisänen, ,CB,Austin,27,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
225,Leonardo Campana,ec ECU,FW,Inter Miami,23,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
Rk
226,Mason Toye,us USA,FWMF,Portland Timbers,25,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
227,Braian Ojeda,py PAR,MF,Real Salt Lake,23,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
228,Dominik Marczuk, ,RW,Real Salt Lake,20,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
229,Andrew Gutman,us USA,DF,Chicago Fire,27,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
230,Martín Cáceres,uy URU,DF,LA Galaxy,36,$11538 (€ 10958 £ 9033),$600000 (€ 569834 £ 469694),
231,Boris Enow, ,CM,D.C. United,24,$11267 (€ 10701 £ 8820),$585895 (€ 556438 £ 458652),
232,Cristhian Paredes,py PAR,MF,Portland Timbers,25,$11154 (€ 10593 £ 8731),$580000 (€ 550839 £ 454037),
233,Sang-bin Jeong, ,CF,Minnesota Utd,22,$11072 (€ 10515 £ 8668),$575750 (€ 546803 £ 450710),
234,Omir Fernandez,us USA,FWMF,Colorado Rapids,24,$11058 (€ 10502 £ 8656),$575000 (€ 546091 £ 450123),
235,Andrés Perea,us USA,MF,NYCFC,23,$11058 (€ 10502 £ 8656),$575000 (€ 546091 £ 450123),
236,Julián Fernández, ,RW,NYCFC,20,$10846 (€ 10301 £ 8491),$564000 (€ 535644 £ 441512),
237,Xande Silva,pt POR,FWMF,Atlanta Utd,26,$10769 (€ 10228 £ 8430),$560000 (€ 531845 £ 438381),
238,Nathan Byrne,eng ENG,DF,Charlotte,31,$10769 (€ 10228 £ 8430),$560000 (€ 531845 £ 438381),
239,Daniel Lovitz,us USA,DF,Nashville SC,32,$10697 (€ 10159 £ 8374),$556244 (€ 528278 £ 435440),
240,Maxime Crépeau,ca CAN,GK,Portland Timbers,29,$10673 (€ 10136 £ 8355),$555000 (€ 527096 £ 434467),
241,Adalberto Carrasquilla,pa PAN,FWMF,Houston Dynamo,25,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
242,Brandon Servania,us USA,MF,Toronto FC,24,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
243,Dru Yearwood,eng ENG,MF,Nashville SC,23,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
244,Matt Polster,us USA,MF,NE Revolution,30,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
245,Danley Jean Jacques, ,DM,Philadelphia Union,24,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
246,Léo Chú,br BRA,FWMF,Seattle Sounders,23,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
247,Nathan Cardoso,br BRA,DF,Seattle Sounders,28,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
248,Nouhou Tolo,cm CMR,DF,Seattle Sounders,26,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
249,Carlos Akapo,gq EQG,DF,SJ Earthquakes,30,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
250,Miguel Araujo,pe PER,DF,Portland Timbers,29,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
Rk
251,Santiago Moreno,co COL,FWMF,Portland Timbers,23,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
252,Kristijan Kahlina,hr CRO,GK,Charlotte,31,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
253,Miki Yamane, ,RB,LA Galaxy,30,$10577 (€ 10045 £ 8280),$550000 (€ 522348 £ 430552),
254,Carlos Terán,co COL,DF,Chicago Fire,23,$10173 (€ 9662 £ 7964),$529000 (€ 502403 £ 414113),
255,Tristan Muyumba, ,MF,Atlanta Utd,26,$10096 (€ 9589 £ 7904),$525000 (€ 498605 £ 410982),
256,Alex Muyl,us USA,FWDF,Nashville SC,28,$10096 (€ 9589 £ 7904),$525000 (€ 498605 £ 410982),
257,Jere Uronen,fi FIN,DF,Charlotte,29,$10096 (€ 9589 £ 7904),$525000 (€ 498605 £ 410982),
258,Marco Farfan,us USA,DF,FC Dallas,25,$9846 (€ 9351 £ 7708),$512000 (€ 486258 £ 400805),
259,Dany Rosero, ,CB,Sporting KC,30,$9808 (€ 9315 £ 7678),$510000 (€ 484359 £ 399239),
260,Yevhen Cheberko,ua UKR,DF,Columbus Crew,26,$9712 (€ 9223 £ 7602),$505000 (€ 479610 £ 395325),
261,Iván Angulo,co COL,FWMF,Orlando City,24,$9615 (€ 9132 £ 7527),$500004 (€ 474865 £ 391414),
262,Asier Illarramendi,es ESP,MF,FC Dallas,33,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
263,Jamal Thiaré,sn SEN,FW,Atlanta Utd,30,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
264,Carlos Coronel,py PAR,GK,NY Red Bulls,27,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
265,Cory Burke,jm JAM,FW,NY Red Bulls,32,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
266,Kyle Duncan,us USA,DF,NY Red Bulls,26,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
267,David Martínez, ,RW,LAFC,18,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
268,Jesús David Murillo,co COL,DF,LAFC,29,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
269,Hassani Dotson,us USA,MF,Minnesota Utd,26,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
270,Mikkel Desler,dk DEN,DF,Austin,28,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
271,Diego Gómez, ,CM,Inter Miami,21,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
272,Diego Chará,co COL,MF,Portland Timbers,37,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
273,Tim Ream,us USA,DF,Charlotte,36,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
274,Chase Gasper,us USA,DF,Chicago Fire,28,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
275,Federico Navarro,ar ARG,MF,Chicago Fire,23,$9615 (€ 9132 £ 7527),$500000 (€ 474862 £ 391411),
Rk
276,Jáder Obrian,co COL,FWMF,Austin,28,$9519 (€ 9041 £ 7452),$495000 (€ 470113 £ 387497),
277,Wilder Cartagena,pe PER,MFDF,Orlando City,29,$9231 (€ 8767 £ 7226),$480000 (€ 455867 £ 375755),
278,Agustín Ojeda, ,LW,NYCFC,20,$9231 (€ 8767 £ 7226),$480000 (€ 455867 £ 375755),
279,Maximiliano Moralez,ar ARG,MFFW,NYCFC,36,$9231 (€ 8767 £ 7226),$480000 (€ 455867 £ 375755),
280,Elias Manoel,br BRA,FW,NY Red Bulls,22,$9231 (€ 8767 £ 7226),$480000 (€ 455867 £ 375755),
281,Kevin Kelsy, ,CF,FC Cincinnati,20,$9231 (€ 8767 £ 7226),$480000 (€ 455867 £ 375755),
282,Franco Escobar,ar ARG,DF,Houston Dynamo,28,$9135 (€ 8675 £ 7151),$475000 (€ 451118 £ 371841),
283,Griffin Dorsey,us USA,DF,Houston Dynamo,24,$9135 (€ 8675 £ 7151),$475000 (€ 451118 £ 371841),
284,Willy Agada, ,CF,Sporting KC,24,$9135 (€ 8675 £ 7151),$475000 (€ 451118 £ 371841),
285,Rudy Camacho,fr FRA,DF,Columbus Crew,32,$9135 (€ 8675 £ 7151),$475000 (€ 451118 £ 371841),
286,Brayan Vera,co COL,DF,Real Salt Lake,25,$9135 (€ 8675 £ 7151),$475000 (€ 451118 £ 371841),
287,Georgios Koutsias, ,CF,Chicago Fire,20,$9054 (€ 8599 £ 7088),$470800 (€ 447130 £ 368553),
288,Connor Ronan,ie IRL,MF,Colorado Rapids,25,$9038 (€ 8584 £ 7076),$470000 (€ 446370 £ 367927),
289,Alex Roldan,sv SLV,DF,Seattle Sounders,27,$8942 (€ 8493 £ 7000),$465000 (€ 441621 £ 364012),
290,Show,ao ANG,MF,FC Dallas,24,$8885 (€ 8438 £ 6955),$462000 (€ 438772 £ 361664),
291,Allan Arigoni,ch SUI,DF,Chicago Fire,25,$8885 (€ 8438 £ 6955),$462000 (€ 438772 £ 361664),
292,Sebastian Kowalczyk, ,AM,Houston Dynamo,25,$8865 (€ 8420 £ 6940),$461000 (€ 437822 £ 360881),
293,Dayne St. Clair,ca CAN,GK,Minnesota Utd,26,$8846 (€ 8401 £ 6925),$460000 (€ 436873 £ 360098),
294,Bill Tuiloma,nz NZL,DF,Charlotte,28,$8846 (€ 8401 £ 6925),$460000 (€ 436873 £ 360098),
295,Brad Stuver,us USA,GK,Austin,32,$8827 (€ 8383 £ 6910),$459000 (€ 435923 £ 359316),
296,Daniel Steres,us USA,DF,Houston Dynamo,33,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
297,Ibrahim Aliyu, ,CF,Houston Dynamo,22,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
298,Lawrence Ennali,de GER,FW,Houston Dynamo,21,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
299,Henry Wingo,us USA,DF,Toronto FC,28,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
300,Ronald Hernández,ve VEN,DF,Atlanta Utd,26,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
Rk
301,Bobby Wood,us USA,FW,NE Revolution,31,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
302,Jonathan Mensah,gh GHA,DFFW,NE Revolution,33,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
303,Pedro Santos,pt POR,DFMF,D.C. United,35,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
304,Andreu Fontàs,es ESP,DF,Sporting KC,34,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
305,Robert Voloder,ba BIH,DF,Sporting KC,22,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
306,Alexandru Mățan,ro ROU,MF,Columbus Crew,24,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
307,Christian Ramirez,us USA,MFFW,Columbus Crew,32,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
308,Sean Nealis,us USA,DF,NY Red Bulls,27,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
309,Bjørn Inge Utvik, ,CB,Vancouver W'caps,28,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
310,Jhojan Valencia,co COL,MF,Austin,27,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
311,Chris Durkin,us USA,MF,St. Louis,23,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
312,Pavel Bucha, ,CM,FC Cincinnati,26,$8654 (€ 8219 £ 6774),$450000 (€ 427375 £ 352270),
313,Ruan,br BRA,DFMF,FC Dallas,28,$8462 (€ 8036 £ 6624),$440000 (€ 417878 £ 344442),
314,Damir Kreilach,hr CRO,FW,Vancouver W'caps,34,$8462 (€ 8036 £ 6624),$440000 (€ 417878 £ 344442),
315,Thomas McNamara,us USA,FWMF,NE Revolution,32,$8365 (€ 7945 £ 6549),$435000 (€ 413130 £ 340528),
316,Matt Hedges,us USA,DF,Austin,33,$8237 (€ 7823 £ 6448),$428313 (€ 406779 £ 335293),
317,Sean Johnson,us USA,GK,Toronto FC,34,$8193 (€ 7781 £ 6414),$426039 (€ 404619 £ 333513),
318,Tyler Miller,us USA,GK,D.C. United,30,$8173 (€ 7762 £ 6398),$425000 (€ 403632 £ 332700),
319,Daniel,br BRA,GK,SJ Earthquakes,29,$8173 (€ 7762 £ 6398),$425000 (€ 403632 £ 332700),
320,Antony,br BRA,FWMF,Portland Timbers,22,$8173 (€ 7762 £ 6398),$425000 (€ 403632 £ 332700),
321,Brad Smith,au AUS,FWDF,Houston Dynamo,29,$8173 (€ 7762 £ 6398),$424999 (€ 403631 £ 332699),
322,Noah Eile, ,CB,NY Red Bulls,22,$8077 (€ 7671 £ 6323),$420000 (€ 398884 £ 328785),
323,Jonathan Lewis,us USA,FW,Colorado Rapids,26,$7885 (€ 7488 £ 6172),$410000 (€ 389386 £ 320957),
324,Deybi Flores,hn HON,MF,Toronto FC,27,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
325,Derrick Williams,ie IRL,DF,Atlanta Utd,31,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
Rk
326,Edwin Mosquera,co COL,FWMF,Atlanta Utd,22,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
327,Nacho Gil,es ESP,FWMF,NE Revolution,28,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
328,Keegan Rosenberry,us USA,DF,Colorado Rapids,30,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
329,David Schnegg,at AUT,DF,D.C. United,25,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
330,Logan Ndenbe,be BEL,DF,Sporting KC,23,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
331,Wil Trapp,us USA,MF,Minnesota Utd,31,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
332,J.T. Marcinkowski,us USA,GK,SJ Earthquakes,27,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
333,Nicolás Freire,ar ARG,DF,Inter Miami,29,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
334,David Ayala,ar ARG,MF,Portland Timbers,21,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
335,Roman Celentano,us USA,GK,FC Cincinnati,23,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
336,Kerwin Vargas,co COL,FW,Charlotte,22,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
337,Alexandros Katranis,gr GRE,DF,Real Salt Lake,25,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
338,Diego Luna, ,LM,Real Salt Lake,20,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
339,Marcelo Silva,uy URU,DF,Real Salt Lake,34,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
340,Fabian Herbers,de GER,MF,Chicago Fire,30,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
341,Tobias Salquist,dk DEN,DF,Chicago Fire,28,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
342,Edwin Cerrillo,us USA,MF,LA Galaxy,23,$7692 (€ 7306 £ 6022),$400000 (€ 379889 £ 313129),
343,Aljaž Ivačič,si SVN,GK,NE Revolution,30,$7404 (€ 7032 £ 5796),$385000 (€ 365643 £ 301387),
344,Daniel Edelman,us USA,MF,NY Red Bulls,20,$7404 (€ 7032 £ 5796),$385000 (€ 365643 £ 301387),
345,William Yarbrough,us USA,GK,SJ Earthquakes,34,$7404 (€ 7032 £ 5796),$385000 (€ 365643 £ 301387),
346,Tomás Avilés, ,CB,Inter Miami,20,$7404 (€ 7032 £ 5796),$384996 (€ 365640 £ 301384),
347,Shane O'Neill,us USA,DF,Toronto FC,30,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
348,Patrick Yazbek, ,CM,Nashville SC,22,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
349,Brandon Bye,us USA,DF,NE Revolution,28,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
350,Nick Lima,us USA,DF,NE Revolution,29,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
Rk
351,Dylan Chambost,fr FRA,MFFW,Columbus Crew,26,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
352,Sean Zawadzki,us USA,MFDF,Columbus Crew,23,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
353,Jon Gallagher,ie IRL,DF,Austin,27,$7212 (€ 6849 £ 5645),$375000 (€ 356146 £ 293558),
354,Ema Twumasi,gh GHA,DF,FC Dallas,26,$7115 (€ 6758 £ 5570),$370000 (€ 351398 £ 289644),
355,Malte Amundsen,dk DEN,DF,Columbus Crew,25,$6923 (€ 6575 £ 5420),$360000 (€ 341900 £ 281816),
356,Monsef Bakrar, ,CF,NYCFC,23,$6923 (€ 6575 £ 5420),$360000 (€ 341900 £ 281816),
357,Nikola Petkovic, ,DM,Charlotte,21,$6923 (€ 6575 £ 5420),$360000 (€ 341900 £ 281816),
358,Daniel Musovski,us USA,FWMF,Seattle Sounders,28,$6906 (€ 6558 £ 5406),$359091 (€ 341037 £ 281105),
359,Sergi Palencia,es ESP,DFMF,LAFC,27,$6731 (€ 6392 £ 5269),$350004 (€ 332407 £ 273991),
360,Jacob Shaffelburg,ca CAN,FWDF,Nashville SC,24,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
361,Olivier Mbaizo,cm CMR,DF,Philadelphia Union,26,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
362,Rodrigo Schlegel,ar ARG,DF,Orlando City,26,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
363,Mohamed Farsi, ,RM,Columbus Crew,24,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
364,Joshua Atencio,us USA,MF,Seattle Sounders,22,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
365,Tayvon Gray,jm JAM,DF,NYCFC,21,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
366,Hugo Lloris,fr FRA,GK,LAFC,37,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
367,Jefferson Díaz, ,CB,Minnesota Utd,23,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
368,Deiber Caicedo,co COL,FWDF,Vancouver W'caps,23,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
369,Diego Rubio,cl CHI,FW,Austin,30,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
370,Žan Kolmanič,si SVN,DFFW,Austin,23,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
371,Vitor Costa,br BRA,DF,SJ Earthquakes,29,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
372,Brandt Bronico,us USA,MF,Charlotte,28,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
373,Zac MacMath,us USA,GK,Real Salt Lake,32,$6731 (€ 6392 £ 5269),$350000 (€ 332403 £ 273988),
374,Drake Callender,us USA,GK,Inter Miami,26,$6731 (€ 6392 £ 5269),$349992 (€ 332395 £ 273982),
375,Nkosi Tafari,us USA,DF,FC Dallas,26,$6688 (€ 6351 £ 5235),$347750 (€ 330266 £ 272227),
Rk
376,Mauricio Pineda,us USA,DFMF,Chicago Fire,26,$6635 (€ 6301 £ 5194),$345000 (€ 327654 £ 270074),
377,Maren Haile-Selassie,ch SUI,FWMF,Chicago Fire,24,$6615 (€ 6283 £ 5179),$344000 (€ 326705 £ 269291),
378,Ramiro Enrique,ar ARG,FW,Orlando City,22,$6556 (€ 6226 £ 5132),$340909 (€ 323769 £ 266871),
379,Dennis Gjengaar, ,RW,NY Red Bulls,20,$6538 (€ 6210 £ 5118),$340000 (€ 322906 £ 266160),
380,Sebastian Berhalter,us USA,MFDF,Vancouver W'caps,22,$6346 (€ 6027 £ 4968),$330000 (€ 313409 £ 258331),
381,Nelson Palacio,co COL,MF,Real Salt Lake,22,$6346 (€ 6027 £ 4968),$330000 (€ 313409 £ 258331),
382,Maarten Paes,id IDN,GK,FC Dallas,25,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
383,Derrick Jones,us USA,MF,Columbus Crew,26,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
384,Édier Ocampo, ,RB,Vancouver W'caps,20,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
385,Selmir Pidro, ,LB,St. Louis,26,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
386,Claudio Bravo,ar ARG,DF,Portland Timbers,26,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
387,Adilson Malanda,fr FRA,DF,Charlotte,22,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
388,Julián Aude,ar ARG,DF,LA Galaxy,20,$6250 (€ 5936 £ 4893),$325000 (€ 308660 £ 254417),
389,Alejandro Bedoya,us USA,MF,Philadelphia Union,36,$6250 (€ 5936 £ 4893),$324996 (€ 308656 £ 254414),
390,Rafael Santos, ,LB,Orlando City,26,$6250 (€ 5936 £ 4893),$324996 (€ 308656 £ 254414),
391,Jannes Horn,de GER,DF,St. Louis,26,$6115 (€ 5808 £ 4787),$318000 (€ 302012 £ 248938),
392,Franco Fragapane,ar ARG,MFFW,Minnesota Utd,30,$5962 (€ 5662 £ 4667),$310000 (€ 294414 £ 242675),
393,Cassius Mailula, ,RW,Toronto FC,23,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
394,Enes Sali, ,LW,FC Dallas,18,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
395,Geovane Jesus, ,RB,FC Dallas,23,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
396,Theodore Ku-Dipietro,us USA,MFFW,D.C. United,22,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
397,Leon Flach,us USA,MF,Philadelphia Union,22,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
398,Dagur Dan Thórhallsson, ,RB,Orlando City,24,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
399,Alonso Martínez, ,RW,NYCFC,25,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
400,Cameron Harper,us USA,MFDF,NY Red Bulls,22,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
Rk
401,Luís Martins,pt POR,DFMF,Vancouver W'caps,31,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
402,Oleksandr Svatok,ua UKR,DF,Austin,29,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
403,Njabulo Blom, ,DM,St. Louis,24,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
404,Alfredo Morales,us USA,MF,SJ Earthquakes,33,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
405,Paul Marie,fr FRA,DFFW,SJ Earthquakes,28,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
406,Tanner Beason,us USA,DF,SJ Earthquakes,26,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
407,Robert Taylor,fi FIN,FWMF,Inter Miami,29,$5769 (€ 5479 £ 4516),$300000 (€ 284917 £ 234847),
408,Ryan Meara,us USA,GK,NY Red Bulls,33,$5654 (€ 5370 £ 4426),$294000 (€ 279219 £ 230150),
409,Benjamin Kikanovic,us USA,FWDF,SJ Earthquakes,24,$5615 (€ 5333 £ 4396),$292000 (€ 277319 £ 228584),
410,Kyle Smith,us USA,DFMF,Orlando City,32,$5577 (€ 5297 £ 4366),$290000 (€ 275420 £ 227019),
411,Jesús Daniel Bueno,ve VEN,MF,Philadelphia Union,24,$5385 (€ 5114 £ 4215),$280000 (€ 265922 £ 219190),
412,Dante Sealy,us USA,DFMF,FC Dallas,20,$5289 (€ 5023 £ 4140),$275036 (€ 261208 £ 215304),
413,Jonathan Perez,mx MEX,MFFW,Nashville SC,21,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
414,Brian Anunga,cm CMR,MF,Nashville SC,27,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
415,Ian Harkes,us USA,MF,NE Revolution,28,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
416,Jaylin Lindsey,us USA,DF,Charlotte,23,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
417,Andrew Brody,us USA,DF,Real Salt Lake,28,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
418,John McCarthy,us USA,GK,LA Galaxy,31,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
419,John Nelson,us USA,DF,LA Galaxy,25,$5288 (€ 5023 £ 4140),$275000 (€ 261174 £ 215276),
420,Tomas Totland, ,RB,St. Louis,24,$5250 (€ 4986 £ 4110),$273000 (€ 259274 £ 213711),
421,Indiana Vassilev,us USA,MFFW,St. Louis,22,$5192 (€ 4931 £ 4065),$270000 (€ 256425 £ 211362),
422,Jake Girdwood-Reich, ,DM,St. Louis,20,$5119 (€ 4862 £ 4007),$266200 (€ 252816 £ 208387),
423,Rasmus Alm, ,RW,St. Louis,29,$5106 (€ 4849 £ 3997),$265500 (€ 252151 £ 207839),
424,Josh Cohen, ,GK,Atlanta Utd,32,$5096 (€ 4840 £ 3989),$265000 (€ 251677 £ 207448),
425,Ethan Finlay,us USA,FWMF,Austin,33,$5048 (€ 4794 £ 3952),$262500 (€ 249302 £ 205491),
Rk
426,Djibril Diani,fr FRA,MF,Charlotte,25,$5000 (€ 4749 £ 3914),$260000 (€ 246928 £ 203534),
427,Christopher McVey,se SWE,DF,D.C. United,26,$4846 (€ 4603 £ 3794),$252000 (€ 239330 £ 197271),
428,Lachlan Brook, ,RW,Real Salt Lake,23,$4846 (€ 4603 £ 3794),$252000 (€ 239330 £ 197271),
429,Andrew Tarbell,us USA,GK,Houston Dynamo,30,$4808 (€ 4566 £ 3764),$250000 (€ 237431 £ 195706),
430,Ethan Bartlow,us USA,DF,Houston Dynamo,23,$4808 (€ 4566 £ 3764),$250000 (€ 237431 £ 195706),
431,Kevin Long,ie IRL,DF,Toronto FC,33,$4808 (€ 4566 £ 3764),$250000 (€ 237431 £ 195706),
432,Teal Bunbury,us USA,FW,Nashville SC,33,$4808 (€ 4566 £ 3764),$250000 (€ 237431 £ 195706),
