ranker,player,nationality,position,team,age,birth_year,minutes_90s,passes_completed,passes,passes_pct,passes_total_distance,passes_progressive_distance,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,xg_assist,pass_xa,xg_assist_net,assisted_shots,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area,progressive_passes,matches
37,Antony,br BRA,FWMF,Portland Timbers,22,2001,21.0,497,669,74.3,7266,1372,295,352,83.8,155,211,73.5,26,47,55.3,4,2.9,2.8,+1.1,26,26,21,6,40,Matches
38,Brian Anunga,cm CMR,MF,Nashville SC,27,1996,16.1,669,777,86.1,11321,3220,299,328,91.2,307,330,93.0,52,89,58.4,0,0.3,0.5,-0.3,5,56,4,2,53,Matches
39,Cristian Arango,co COL,FWMF,Real Salt Lake,28,1995,25.4,411,600,68.5,6954,2063,193,258,74.8,158,210,75.2,42,73,57.5,6,6.8,4.3,-0.8,49,66,34,3,98,Matches
40,César Araujo,uy URU,MF,Orlando City,22,2001,26.9,1320,1498,88.1,22277,6946,664,718,92.5,510,566,90.1,119,160,74.4,1,2.1,2.1,-1.1,12,166,15,1,145,Matches
41,Miguel Araujo,pe PER,DF,Portland Timbers,29,1994,17.1,694,832,83.4,14456,5437,196,209,93.8,391,426,91.8,97,177,54.8,2,0.7,0.6,+1.3,4,42,4,1,47,Matches
42,Scott Arfield,ca CAN,MFFW,Charlotte,35,1988,4.2,106,131,80.9,1403,287,59,69,85.5,35,39,89.7,3,7,42.9,1,0.2,1.2,+0.8,5,12,1,0,14,Matches
43,Maximilian Arfsten,us USA,DF,Columbus Crew,22,2001,21.8,902,1100,82.0,14061,3334,516,564,91.5,321,390,82.3,50,95,52.6,5,5.5,3.9,-0.5,33,42,30,13,79,Matches
44,Allan Arigoni,ch SUI,DF,Chicago Fire,25,1998,23.3,971,1231,78.9,15255,4929,517,572,90.4,374,448,83.5,55,132,41.7,0,1.5,1.7,-1.5,12,59,11,5,60,Matches
45,Daniel Armando Ríos,mx MEX,FW,Atlanta Utd,28,1995,15.1,245,331,74.0,3481,509,146,178,82.0,75,97,77.3,11,15,73.3,3,1.5,1.1,+1.5,14,17,7,1,30,Matches
46,Stuart Armstrong,sct SCO,MFFW,Vancouver W'caps,31,1992,1.4,70,82,85.4,1150,338,39,42,92.9,23,28,82.1,7,7,100.0,0,0.6,0.3,-0.6,5,8,5,2,10,Matches
47,Xavier Arreaga,ec ECU,DF,NE Revolution,29,1994,21.5,1004,1161,86.5,19799,7300,302,323,93.5,587,629,93.3,105,178,59.0,0,0.5,0.6,-0.5,10,55,3,0,48,Matches
48,Xavier Arreaga,ec ECU,DF,Seattle Sounders,29,1994,2.8,159,180,88.3,3707,1739,31,32,96.9,101,104,97.1,27,41,65.9,0,0.0,0.0,0.0,1,11,0,0,10,Matches
49,Kervin Arriaga,hn HON,DFMF,Minnesota Utd,26,1998,9.8,396,491,80.7,7660,2952,163,180,90.6,174,202,86.1,55,96,57.3,0,0.1,0.2,-0.1,3,42,3,0,35,Matches
50,Paul Arriola,us USA,DFMF,FC Dallas,28,1995,27.3,834,1100,75.8,13081,4459,465,551,84.4,292,363,80.4,56,123,45.5,2,2.9,3.0,-0.9,33,67,29,7,106,Matches
Rk
51,Artur,br BRA,MF,Houston Dynamo,27,1996,33.8,2231,2513,88.8,39278,12699,1036,1108,93.5,880,952,92.4,248,338,73.4,1,0.5,1.7,+0.5,14,229,29,1,239,Matches
52,Yamil Asad,ar ARG,DF,FC Cincinnati,29,1994,8.9,498,627,79.4,7836,2407,270,318,84.9,186,233,79.8,32,46,69.6,5,2.4,1.6,+2.6,20,32,27,0,58,Matches
53,Dairon Asprilla,co COL,FWDF,Portland Timbers,31,1992,7.6,184,246,74.8,2726,563,100,120,83.3,68,81,84.0,7,12,58.3,1,0.9,1.1,+0.1,7,7,3,1,12,Matches
54,Joshua Atencio,us USA,MF,Seattle Sounders,22,2002,11.9,595,749,79.4,9477,2503,303,346,87.6,227,278,81.7,45,82,54.9,1,1.1,0.9,-0.1,12,75,8,1,76,Matches
55,Eduard Atuesta,co COL,MF,LAFC,26,1997,24.3,1158,1419,81.6,21862,7581,464,505,91.9,527,597,88.3,144,259,55.6,2,2.6,3.7,-0.6,43,190,30,4,214,Matches
