ranker,player,nationality,position,team,age,weekly_wages,annual_wages,notes
143,Amine Bassi,fr FRA,MFFW,Houston Dynamo,27,$11635 (€ 10204 £ 8677),$605000 (€ 530615 £ 451200),
144,Bongokuhle Hlongwane,za RSA,DF,Minnesota Utd,24,$11635 (€ 10204 £ 8677),$605000 (€ 530615 £ 451200),
145,Brad Guzan,us USA,GK,Atlanta Utd,40,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
146,Joe Willis,us USA,GK,Nashville SC,36,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
147,David Brekalo, ,CB,Orlando City,26,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
148,Tim Leibold,de GER,DF,Sporting KC,31,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
149,Stefan Frei,ch SUI,GK,Seattle Sounders,38,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
150,Timmy Tillman,de GER,MF,LAFC,26,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
151,Braian Ojeda,py PAR,MF,Real Salt Lake,24,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
152,Dominik Marczuk, ,RW,Real Salt Lake,21,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
153,Andrew Gutman,us USA,DF,Chicago Fire,28,$11538 (€ 10120 £ 8605),$600000 (€ 526230 £ 447471),
154,Boris Enow, ,CM,D.C. United,25,$11267 (€ 9882 £ 8403),$585895 (€ 513859 £ 436952),
155,Cristhian Paredes,py PAR,MF,Portland Timbers,26,$11154 (€ 9782 £ 8318),$580000 (€ 508689 £ 432556),
156,Sang-bin Jeong, ,CF,Minnesota Utd,23,$11072 (€ 9711 £ 8257),$575750 (€ 504961 £ 429386),
157,Omir Fernandez,us USA,MFFW,Colorado Rapids,25,$11058 (€ 9698 £ 8247),$575000 (€ 504303 £ 428827),
158,Andrés Perea,us USA,MF,NYCFC,24,$11058 (€ 9698 £ 8247),$575000 (€ 504303 £ 428827),
159,Julián Fernández, ,RW,NYCFC,21,$10846 (€ 9513 £ 8089),$564000 (€ 494656 £ 420623),
160,Nathan Byrne,eng ENG,DF,Charlotte,32,$10769 (€ 9445 £ 8032),$560000 (€ 491148 £ 417640),
161,Daniel Lovitz,us USA,DF,Nashville SC,33,$10697 (€ 9382 £ 7978),$556244 (€ 487853 £ 414839),
162,Maxime Crépeau,ca CAN,GK,Portland Timbers,30,$10673 (€ 9361 £ 7960),$555000 (€ 486762 £ 413911),
163,Matt Polster,us USA,MF,NE Revolution,31,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
164,Danley Jean Jacques, ,DM,Philadelphia Union,24,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
165,Nouhou Tolo,cm CMR,DF,Seattle Sounders,27,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
166,Miguel Araujo,pe PER,CB,Portland Timbers,30,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
167,Santiago Moreno,co COL,FW,Portland Timbers,24,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
168,Miki Yamane, ,RB,LA Galaxy,31,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
169,Kristijan Kahlina,hr CRO,GK,Charlotte,32,$10577 (€ 9276 £ 7888),$550000 (€ 482377 £ 410182),
170,Carlos Terán,co COL,DF,Chicago Fire,24,$10173 (€ 8922 £ 7587),$529000 (€ 463959 £ 394521),
171,Tristan Muyumba, ,MF,Atlanta Utd,27,$10096 (€ 8855 £ 7530),$525000 (€ 460451 £ 391537),
172,Alex Muyl,us USA,MFFW,Nashville SC,29,$10096 (€ 8855 £ 7530),$525000 (€ 460451 £ 391537),
173,Marco Farfan,us USA,DF,FC Dallas,26,$9846 (€ 8636 £ 7343),$512000 (€ 449049 £ 381842),
174,Dany Rosero, ,CB,Sporting KC,31,$9808 (€ 8602 £ 7314),$510000 (€ 447295 £ 380351),
175,Yevhen Cheberko,ua UKR,DF,Columbus Crew,27,$9712 (€ 8518 £ 7243),$505000 (€ 442910 £ 376622),
176,Iván Angulo,co COL,FWMF,Orlando City,25,$9615 (€ 8433 £ 7171),$500004 (€ 438528 £ 372896),
177,Jamal Thiaré,sn SEN,FWDF,Atlanta Utd,31,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
178,Carlos Coronel,py PAR,GK,NY Red Bulls,28,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
179,Kyle Duncan,us USA,DF,NY Red Bulls,27,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
180,David Martínez, ,RW,LAFC,19,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
181,Hassani Dotson,us USA,MF,Minnesota Utd,27,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
182,Mikkel Desler,dk DEN,DF,Austin,29,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
183,Diego Chará,co COL,MF,Portland Timbers,38,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
184,Tim Ream,us USA,DF,Charlotte,37,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
185,Chase Gasper,us USA,LB,Chicago Fire,29,$9615 (€ 8433 £ 7171),$500000 (€ 438525 £ 372893),
186,Jáder Obrian,co COL,MFFW,Austin,29,$9519 (€ 8349 £ 7099),$495000 (€ 434139 £ 369164),
187,Wilder Cartagena,pe PER,DM,Orlando City,30,$9231 (€ 8096 £ 6884),$480000 (€ 420984 £ 357977),
188,Agustín Ojeda, ,LW,NYCFC,20,$9231 (€ 8096 £ 6884),$480000 (€ 420984 £ 357977),
